asset,beta_bri,year,br,compounded_xret,rank_beta,rank_br,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,soe
598,0.000277171,2017,6.54E-05,0.120533866,-0.067357513,0.823834197,0.849182121,0.597451937,-0.094571129,0.266592861,1
599,0.04098631,2018,1.26E-05,-0.069579138,0.772058824,-0.257352941,1.156198272,1.216718627,0.266382649,0.049685233,1
599,0.015353077,2019,4.60E-05,-0.027242234,0.317307692,0.774038462,1.051557426,1.367891696,0.255695928,-0.198987841,1
600,-0.000397128,2017,9.77E-06,0.185101009,-0.142487047,-0.787564767,1.225386749,0.80172958,-0.462803114,0.458288541,1
600,0.014347708,2018,9.20E-06,-0.232547616,0.330882353,-0.794117647,1.034356901,1.37089094,0.898136005,-0.051438159,1
600,-0.047545419,2019,9.16E-06,-0.020667165,-0.735576923,-0.704326923,1.063090917,0.936542087,0.699081331,0.090608629,1
607,-0.049860325,2019,2.77E-05,-0.183022364,-0.754807692,0.475961538,0.902236479,1.642107393,0.188621136,-0.870697658,1
610,0.051346119,2019,1.25E-05,0.230341678,0.75,-0.211538462,0.927949334,1.662264586,-0.075392076,0.325928757,1
619,-0.00577722,2017,4.61E-05,-0.140369338,-0.650259067,0.655440415,0.892839063,0.461721035,-0.171687307,0.361237695,1
619,0.019394603,2018,4.26E-05,-0.133630667,0.43872549,0.664215686,0.751365136,1.055827807,0.504701488,-0.079009512,1
619,-0.000695542,2019,1.34E-05,0.091566454,0.036057692,-0.146634615,0.993642937,0.890692823,0.734554082,-0.10019349,1
625,0.022091418,2016,1.05E-05,-0.385535638,0.305331179,-0.709208401,1.565694036,-0.338635737,0.885229736,0.487126232,1
625,-0.015812869,2019,9.68E-06,1.354312929,-0.28125,-0.596153846,1.350836029,-0.431726534,-0.72169084,0.255014198,1
626,0.202967848,2016,2.10E-05,-0.62390293,0.996768982,0.111470113,1.240689699,0.303800814,-1.563681328,0.437813409,0
