asset,date,rank_beta,rank_br,xret_cumulative,ch4mkt_beta_avg,ch4smb_beta_avg,ch4vmg_beta_avg,ch4pmo_beta_avg,roe_avg,roa_avg,log_me_avg,bm_avg,ep_value,sue_value,cdi_value,ndp_value,ORR,TOR_growth,TOC_growth,OC_growth,Total_AGR,tl_growth,COD_IE,COD_FE,LEV,LNTAS,Liquidity,FAP,LNTL
31,2017,-0.42746114,0.259067358,0.12209808,1.275489221,0.860849317,0.793652679,0.149445317,0.064284055,0.0092439,16.15545353,1.755751384,0.155033253,0.210246854,-0.115327381,8.722211979,2.658286852,2.658286852,2.23325082,2.424012599,0.990596534,0.829966851,,0.013989397,4.667771655,25.85906427,1.523424115,0.026020916,25.61970996
31,2018,-0.50245098,-0.990196078,-0.219331797,1.189531405,0.184503788,0.315012633,0.473414561,0.022537554,0.004921103,16.22917715,3.513720935,0.050025625,-1.063544799,-1.894411366,12.10758119,-0.332989825,-0.332989825,-0.281469873,-0.272349811,0.158823529,0.157581747,,0.012224769,4.651627976,26.00646957,1.646874406,0.020969606,25.76604308
32,2018,0.965686275,0.031862745,1.168592659,1.105349341,1.202108465,-0.862614026,0.531902169,0.01870253,0.013419855,15.58202233,0.279213465,0.001670517,3.235877651,,-0.028399385,-0.203770036,-0.203770036,-0.166432137,-0.169544561,0.087124017,0.128605457,,-0.021658586,1.380441703,21.55263064,2.888316677,0.037191611,20.26380479
32,2019,0.189903846,0.175480769,-0.138768803,0.827913091,0.43060117,-0.626178286,-0.181292096,0.020918322,0.01499499,15.98684519,0.199059812,0.002239369,0.999696678,-2.586628294,-0.021436346,31.980804,31.980804,33.49459934,35.2663735,15.96079768,48.45483379,,0.043302721,5.091294299,24.38353531,1.195867473,0.101665155,24.1648646
35,2017,0.5,-0.898963731,-0.12082868,0.688906958,1.019685849,-0.634068386,0.463889948,0.027301047,0.010465677,15.63990959,0.725048556,0.013062388,-0.899178278,,3.467193713,8.318004703,8.318004703,9.196043682,10.75955629,4.026006279,5.071820209,,0.0196718,3.988624773,24.45075968,0.928465892,0.1759258,24.16212652
35,2019,-0.6875,0.737980769,-0.119732565,0.828325117,0.602512391,0.668359212,0.122948332,0.016737023,0.004093742,16.22032035,1.110052151,0.014297383,-0.509756985,-2.370004794,2.573621798,0.071527413,0.071527413,0.068363953,0.063263313,0.07154411,0.09045701,,0.023351048,4.264653104,24.68860295,0.797212395,0.145428429,24.42139562
36,2016,0.583198708,0.308562197,-0.28155691,1.399084303,2.060147727,2.064431209,-0.203246626,0.034239856,0.018703777,16.15531187,0.484477439,0.017224183,-1.377397255,-2.118389859,0.336232758,-0.505958489,-0.505958489,-0.473490335,-0.552917264,0.217401222,0.463981128,,-0.001415318,2.043327,23.03065464,2.301762163,0.087133131,22.35848992
37,2019,-0.725961538,0.586538462,-0.337294114,0.966683706,0.993712415,0.182663447,-0.712324132,0.022736593,0.015124819,15.1443037,0.580162461,-0.005466493,-1.195362954,,0.004697934,-0.273179672,-0.273179672,-0.213309902,-0.224888744,0.050666371,0.142626242,,0.006308176,1.536266432,21.8883394,1.954270711,0.281912184,20.83586016
39,2016,0.670436187,0.0726979,-0.272276566,1.65729824,0.904773434,0.487340966,0.178859799,0.015253543,0.004675931,16.94602157,1.843008894,0.034678234,0.397880456,-3.301334141,4.623577767,0.304705415,0.304705415,0.317475061,0.378508627,0.069767442,0.078049575,,0.00741963,3.313640305,25.65051952,1.097832608,0.165478812,25.29407559
39,2017,0.720207254,0.401554404,0.013193088,1.274940104,0.632735519,0.416878669,0.115899155,0.024494236,0.0074612,16.54909291,3.015780985,0.031480846,-0.317084382,-1.794455064,5.742445383,-0.019344842,-0.019344842,-0.012451528,-0.016124553,0.188405797,0.137185345,,0.010706544,3.054812311,25.82313226,1.126536008,0.14472672,25.4226318
39,2018,-0.433823529,0.276960784,-0.322696611,0.994264771,0.235868804,0.05656442,0.484340164,0.000617154,0.000205428,16.40729053,4.153433994,-0.062080375,0.106987806,-2.11396862,9.071459377,-0.076921739,-0.076921739,-0.061051221,-0.069855829,0.079268293,0.100037211,,0.011279758,3.156299356,25.89941557,1.309115295,0.212542407,25.51797581
