asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
2320,0.012889902,2017,2.27e-05,-0.295647358,0.725726793,0.81865285,0.090673575,0.372076994,0.990064951,0.316763533,-1.52639829,-0.089167083,4080241.636666663
2321,-0.00467567,2017,1.08e-05,0.054508336,-0.451362487,-0.588082902,-0.652849741,0.139768302,0.411657638,1.154581465,0.493306742,0.296534355,4880270.768333332
2325,0.013467771,2017,5.92e-05,-0.164964227,-0.499592633,0.82642487,0.784974093,-0.411971379,0.963125033,1.186289531,-0.247435452,0.594366499,5863218.5925
2334,0.003977799,2017,1.94e-05,-0.055050189,-0.188887219,0.404145078,-0.038860104,0.040545661,0.974777917,0.439618404,-1.137520568,0.132687669,4552234.301666668
2337,-0.00287859,2017,4.84e-05,0.195967038,-0.423554119,-0.424870466,0.676165803,-0.302065222,1.0884859,1.26729732,0.28460423,-0.009045028,3574866.2125000004
2347,0.017222869,2017,2.83e-05,0.215838725,-0.47867086,0.896373057,0.313471503,-0.531234608,1.072523174,1.587435953,0.227861865,0.353918613,2503233.9983333317
2361,0.009898961,2017,1.36e-05,-0.005603726,-0.455313619,0.74611399,-0.272020725,-0.202287268,1.089952048,0.655720431,-0.532468,0.649168828,4110592.5200000033
2362,-0.006008248,2017,1.21e-05,-0.26107552,-0.024214227,-0.663212435,-0.440414508,0.069391899,1.475872225,-0.616983463,-2.832208135,0.075557995,4224048.71
2367,-0.000936374,2017,3.89e-05,0.450566251,-0.483376074,-0.225388601,0.57253886,-0.354532269,1.113407037,1.282803862,0.163145638,0.160534831,5388926.430833339
2381,0.007790132,2017,5.34e-05,0.254340744,-0.272889534,0.663212435,0.733160622,-0.316312016,0.972588785,0.880651081,0.010055921,0.103335575,2035159.4700000004
2392,-0.00372592,2017,2.32e-05,0.022205957,-0.433318658,-0.487046632,0.124352332,-0.135564057,1.009417306,2.115489971,0.472660534,0.00621054,4208278.034166664
2394,-0.001776952,2017,1.03e-05,-0.000404997,-0.27838036,-0.323834197,-0.730569948,-0.301233735,0.802489814,0.773707033,0.497585665,0.267152649,4772147.249999997
2398,0.006031266,2017,4.88e-05,0.267413589,-0.210031625,0.582901554,0.686528497,0.110900335,0.794313636,1.613807045,0.757870594,-0.073339734,3416558.5689999997
2443,0.040035593,2017,3.75e-05,0.062872962,-0.273360287,0.994818653,0.546632124,-0.18437401,0.634427873,0.849789684,0.073715574,-0.141088915,4755732.4449999975
2449,0.005198418,2017,3.6e-05,0.256220425,-0.160946523,0.518134715,0.5,0.300966949,0.925097487,0.841123326,-0.785100924,-0.143389758,5956003.105833328
2452,-0.003207935,2017,1.1e-05,-0.012531484,-0.4133199,-0.440414508,-0.621761658,-0.353275791,1.012530946,0.689098762,-0.358061531,0.31499389,2523620.3408333333
2457,-0.004498996,2017,2.18e-05,0.056594822,-0.554768401,-0.567357513,0.049222798,-0.004438815,1.266421926,0.361403373,-1.292378635,0.482655223,3792595.0291666663
2459,0.006480787,2017,4.21e-05,0.016092846,-0.233376564,0.598445596,0.624352332,-0.338788114,0.434374563,0.245625586,-0.269341321,0.31298088,3413989.6074999995
2467,0.002285007,2017,8.09e-05,0.912936298,-0.326217458,0.202072539,0.888601036,-0.283987098,1.16719943,1.56390806,-0.509137231,0.288448246,5698340.045833339
2476,-0.0088528,2017,1.2e-05,0.430001534,-0.45609541,-0.769430052,-0.461139896,-0.469285009,0.852580441,1.232449676,-0.420993052,0.723112402,4400519.85416667
2480,-0.002059502,2017,2.38e-05,-0.387656217,-0.051003035,-0.349740933,0.150259067,-0.373925041,0.792952377,0.520886662,-0.279408877,0.209961485,5450976.046666668
2483,0.002774816,2017,3.1e-05,-0.019637401,-0.364621101,0.25388601,0.378238342,-0.264783215,1.118952213,0.899708439,-0.355464519,0.555125789,3991025.4533333317
2487,-0.017218105,2017,1.36e-05,0.149857267,-0.425360514,-0.89119171,-0.272020725,-0.473776585,1.025447162,1.495158044,0.128345578,0.592656359,3663450.0
2492,0.015601357,2017,1.22e-05,-0.274404718,-0.232364965,0.873056995,-0.422279793,-0.120902408,1.288198974,1.480998916,0.183146521,0.378933173,2953342.4033333343
2514,-0.019635199,2017,2.1e-05,0.034328975,-0.292315027,-0.904145078,0.020725389,-0.190103072,0.814018502,0.655460369,0.185245102,0.168133079,3083954.3958333335
2523,-0.006182179,2017,5.21e-05,0.077604217,-0.16387873,-0.670984456,0.707253886,-0.086818085,0.210477111,0.568011821,-0.388612178,-0.198988982,4465695.694166668
2524,0.028714578,2017,3.97e-05,0.061683805,-0.478345906,0.968911917,0.580310881,-0.412585724,1.076067791,0.852051782,-0.56369395,1.092677893,4111184.0341666676
2529,-4.47e-05,2017,1.23e-05,-0.278406471,-0.38066915,-0.093264249,-0.406735751,-0.283162223,0.486817407,-0.147053413,-1.080152971,0.033349759,3512499.9999999986
2530,-0.010884546,2017,2.07e-05,0.055123876,-0.511881076,-0.821243523,0.0,-0.264926941,0.669893957,0.444765408,-0.902100823,-0.264290738,5322994.165833334
2532,0.005501181,2017,1.19e-05,0.374201368,-0.401832447,0.546632124,-0.492227979,-0.348615582,0.963620713,1.446709016,-0.129543107,0.668310265,3023898.026666667
2539,-0.004645642,2017,2.68e-05,0.10636211,-0.500477537,-0.585492228,0.261658031,-0.421747659,0.977026668,1.310184342,-0.042885199,0.445911524,3680032.433333335
2540,0.00725493,2017,3.13e-05,-0.042848539,-0.266667153,0.632124352,0.396373057,-0.037742972,0.550458319,0.638104757,-0.10537887,0.183718055,5208584.498333332
2545,-0.003895633,2017,1.2e-05,0.054596549,-0.516085939,-0.502590674,-0.461139896,-0.232576365,1.25528648,1.63487489,0.90891796,0.343461144,3235626.0400000005
2551,0.002026576,2017,6.82e-06,-0.179807037,-0.433122375,0.17357513,-0.984455959,-0.315803561,1.135392244,1.617180358,-0.111771016,0.363419617,4295671.876666668
2554,-0.007372889,2017,8.34e-05,0.138964358,-0.472269398,-0.727979275,0.901554404,-0.428900897,1.149090035,1.320601115,0.431379198,-0.024594632,3882479.5275000003
2578,-0.000244569,2017,6.82e-05,-0.076414666,-0.121710098,-0.121761658,0.849740933,-0.226895686,0.932341407,-0.008230395,-0.402504602,0.08903687,2549863.9288888904
2580,-0.003711885,2017,1.3e-05,-0.105198688,-0.228340088,-0.479274611,-0.321243523,-0.260373629,0.798624483,1.864393106,-0.355127667,0.323528874,2502520.580000001
2582,-0.004268016,2017,4.86e-05,-0.172857988,-0.105078644,-0.556994819,0.68134715,-0.343800589,0.767882331,0.454908686,-0.014987508,-0.270134675,2751397.462500001
