asset,date,br,start_date,end_date,compounded_xret,ch4mkt_beta,ch4pmo_beta,ch4smb_beta,ch4vmg_beta
12,2017,1.35e-05,2018/7/1,2019/6/30,-0.079703538,1.093374675,0.156669122,0.865707375,0.076892286
12,2018,2.57e-05,2019/7/1,2020/6/30,0.188846423,1.169370559,0.321259693,0.492251139,-0.392109376
12,2019,1.19e-05,2020/7/1,2021/6/30,1.059974196,1.294375685,-0.491203925,0.937486234,0.146095209
14,2014,0.0,2015/7/1,2016/6/30,-0.238591889,1.158619445,0.402425983,0.824516765,-0.986684169
14,2015,0.0,2016/7/1,2017/6/30,-0.10366553,0.802513329,-0.099678496,0.973399846,-0.282830455
14,2016,0.0,2017/7/1,2018/6/30,-0.102842367,1.034821002,0.149227172,0.987901956,0.461454484
14,2017,0.0,2018/7/1,2019/6/30,-0.377356978,1.274109141,-0.051751961,1.406280939,0.612811154
14,2018,0.0,2019/7/1,2020/6/30,0.108146799,0.966063905,0.740805713,1.161072586,-0.146463248
14,2019,0.0,2020/7/1,2021/6/30,-0.294334004,1.218305098,0.064156193,1.195956117,0.473295703
16,2014,0.0,2015/7/1,2016/6/30,-0.686010598,1.075816588,0.096313831,1.243435484,0.391970727
16,2015,0.0,2016/7/1,2017/6/30,0.00148744,1.148555402,0.554168168,1.015663144,-0.328446478
16,2016,0.0,2017/7/1,2018/6/30,0.089754282,1.641080564,0.358721808,-0.019098139,-0.485315457
16,2017,0.0,2018/7/1,2019/6/30,-0.212296127,1.206824397,0.193541155,0.732778171,-0.329634197
16,2018,1.93e-05,2019/7/1,2020/6/30,0.624161418,1.015862435,0.144022853,0.333539636,-0.598528207
16,2019,0.0,2020/7/1,2021/6/30,-0.008307243,1.247014205,0.582504366,0.540215624,-0.633014536
17,2014,0.0,2015/7/1,2016/6/30,-0.457014924,1.094190005,0.058772509,0.748818452,-0.910734915
17,2015,0.0,2016/7/1,2017/6/30,-0.186954877,0.773930062,-0.153631123,1.808661062,-1.129498793
17,2016,0.0,2017/7/1,2018/6/30,-0.488765059,0.786000676,0.46919979,0.700294349,-0.270458384
17,2017,0.0,2018/7/1,2019/6/30,-0.032410802,1.119671584,-0.29854841,1.572807537,0.641507757
17,2018,0.0,2019/7/1,2020/6/30,-0.215107929,1.021767048,0.854444721,1.589528952,-1.112338159
17,2019,0.0,2020/7/1,2021/6/30,0.191267,,,,
19,2014,0.0,2015/7/1,2016/6/30,0.316320714,1.059793822,-0.391947414,0.393753452,-0.458924472
19,2015,0.0,2016/7/1,2017/6/30,-0.024068113,0.528267903,0.085716775,0.68019018,-1.554316074
19,2016,0.0,2017/7/1,2018/6/30,-0.20984901,1.448091098,-0.116873555,0.787145342,-0.455470666
19,2017,0.0,2018/7/1,2019/6/30,-0.262640602,1.07448477,0.078004802,1.500977027,0.398304578
19,2018,0.0,2019/7/1,2020/6/30,0.135782751,1.034935627,0.34326178,1.091653289,0.123970313
19,2019,1.91e-05,2020/7/1,2021/6/30,-0.085059288,1.159202352,0.030369966,1.169659797,0.269348635
20,2014,0.0,2015/7/1,2016/6/30,-0.238627413,0.824626053,0.794811487,1.807117624,-0.263567142
20,2015,0.0,2016/7/1,2017/6/30,-0.128373519,0.944677751,-0.133016084,0.174805395,-1.482118549
20,2016,0.0,2017/7/1,2018/6/30,-0.273933991,1.654478586,1.789391295,0.868635542,-0.080170144
20,2017,0.0,2018/7/1,2019/6/30,-0.239559233,1.065763154,0.252262661,1.290568975,-0.045800526
20,2018,0.0,2019/7/1,2020/6/30,0.034642282,0.984786956,-0.009169601,1.47887334,-0.010618193
20,2019,0.0,2020/7/1,2021/6/30,-0.158034625,0.945316141,-0.050740152,1.185324514,-0.6649804
21,2014,0.0,2015/7/1,2016/6/30,-0.286230147,1.144627544,0.181214792,0.93077835,-0.450583908
21,2015,1.19e-05,2016/7/1,2017/6/30,-0.228081148,1.101872661,0.237532349,0.917004403,-0.540842163
21,2016,2.51e-05,2017/7/1,2018/6/30,-0.2112828,1.256579713,-0.656716276,0.307177806,-1.22601037
21,2017,1.08e-05,2018/7/1,2019/6/30,0.188620373,1.119234861,0.525160254,0.606246598,-1.269825126
21,2018,0.0,2019/7/1,2020/6/30,1.654711576,1.058681392,0.28109957,0.930721091,-2.308046709
21,2019,0.0,2020/7/1,2021/6/30,-0.129280813,1.344779347,0.972568651,-0.063554914,-1.258641429
23,2014,0.0,2015/7/1,2016/6/30,0.026281303,0.680176425,-0.123479726,0.464287941,-1.281631184
23,2015,0.0,2016/7/1,2017/6/30,0.03505861,0.768931337,-0.361010535,1.055741746,-1.420655958
23,2016,0.0,2017/7/1,2018/6/30,-0.514468343,1.320309364,0.331646896,0.28850372,-0.734113277
23,2017,0.0,2018/7/1,2019/6/30,-0.053528533,1.204671719,0.148608676,1.500412283,0.241976664
23,2018,0.0,2019/7/1,2020/6/30,0.255455957,1.108349691,0.333317785,1.683251843,0.306412978
23,2019,9.22e-06,2020/7/1,2021/6/30,-0.08734839,0.605399474,-0.189925422,0.849651848,-0.399974687
25,2014,0.0,2015/7/1,2016/6/30,2.524802539,0.603809878,0.017981865,0.544257597,-1.296380872
25,2015,0.0,2016/7/1,2017/6/30,-0.310936882,0.604764042,0.202144814,1.005957916,-1.089667807
