Stkcd,Trdmnt,beta_bri
2,201512,-20.40642804167804
2,201601,-28.71957613524276
2,201602,-30.826145207075385
2,201603,-42.42517817955312
2,201604,2.3578622724247964
2,201605,47.91638995254284
2,201606,91.2018647393896
2,201607,26.93882911829803
2,201608,-20.76343048120472
2,201609,3.8194018524374087
2,201610,-30.3714347824278
2,201611,-239.53770412023977
2,201612,-292.6336196789267
2,201701,-233.0730165875716
2,201702,-130.78496656093608
2,201703,-71.24269906134845
2,201704,-62.27894189554941
2,201705,0.5452120821128736
2,201706,-2.1610593520262737
2,201707,-5.447075577010557
2,201708,-2.7288720191932474
2,201709,1.2018922007005806
2,201710,0.5867845778754446
2,201711,0.1363141116545159
2,201712,-2.169766888276289
2,201801,-3.3307004109354192
2,201802,-1.9049185512343847
2,201803,-0.9969193291384056
2,201804,-0.1982217418962815
2,201805,-17.012266929872872
2,201806,12.361943407533442
2,201807,38.59035776049792
2,201808,38.14865267169544
2,201809,-2.584132329716008
2,201810,-2.4328832305256967
2,201811,6.615932717457976
2,201812,19.065041874989564
2,201901,20.291943768246785
2,201902,9.499272019120236
2,201903,-3.1480479788879023
2,201904,-7.5366988205075955
2,201905,-10.987526667673777
2,201906,-13.92970286749626
2,201907,-2.5646458990162277
2,201908,-1.6602710781484689
2,201909,23.80823276283445
2,201910,42.65106491276087
2,201911,46.52517915959675
2,201912,42.46429129371073
2,202001,41.19589851617975
2,202002,39.96717194214523
2,202003,22.354259005761985
2,202004,44.06248754506095
2,202005,10.63293417352414
2,202006,13.164241491206418
2,202007,32.4867602585095
2,202008,7.689554687840861
2,202009,-25.94222052131072
2,202010,-10.014481785319916
2,202011,-3.204005357255369
2,202012,-19.803089460960024
2,202101,6.241944918597895
2,202102,30.119420668577902
2,202103,-21.415683074959414
2,202104,-34.463919122469164
2,202105,-42.91063603524495
2,202106,-58.44394687041098
2,202107,-59.15333243014453
2,202108,-32.31019765824249
2,202109,28.136072344884667
2,202110,0.4821457374979445
2,202111,-22.40497589070276
4,201512,5.368770114940446
4,201601,28.080663166043507
4,201602,24.95192202723373
4,201603,3.089678154733754
4,201604,42.339929409479865
4,201605,18.34492980101952
4,201606,-21.24909862225227
4,201607,-23.585795590574904
4,201608,-52.58945108002413
4,201609,-97.5844235159898
4,201610,-77.66797743361437
4,201611,-50.277913393056046
4,201612,50.09579248849354
4,201701,45.74077854499336
4,201702,-27.183404328556875
4,201703,-25.40908577667101
4,201704,-25.40908577667101
4,201705,-25.40908577667101
4,201706,-95.05523870512474
4,201707,-81.95721937941772
4,201708,-74.25419340175577
4,201709,-53.92517219434687
4,201710,-38.71148329402037
4,201711,-45.99454530447119
4,201712,-31.902145328294296
4,201801,-36.002170976424765
4,201802,-31.2204271634981
4,201803,-13.328756732124615
4,201804,-20.20448100336992
4,201805,-27.90827710506197
4,201806,9.745737353495343
4,201807,16.100515097440407
