asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br
6,0.0616843738220659,1.2241479665489199,1.24784491948937,0.7676670877720799,0.0080981396904126,2018,1.28e-05,0.2674101,-0.051235571,0.9166666666666667,-0.24019607843137258
8,-0.0096762107941952,1.01913828788899,0.3328533595546,-0.29268810552138,-0.11228844535619001,2016,5.16e-05,-0.322403628,-0.340896118,-0.19547657512116312,0.7576736672051696
8,0.001622485409317,0.88661594172369,-0.20223040057627,-0.8725319719877399,0.28045999411989003,2017,2.09e-05,-0.247817124,-0.322403628,0.1113989637305699,0.012953367875647714
8,-0.0480574133276451,0.87859989607734,0.6288027772439599,-0.26592276884658,-0.05786786596675,2019,9.54e-06,-0.256721741,-0.229533231,-0.7427884615384616,-0.6274038461538461
11,0.0708948855216638,1.13236035963507,1.07838254159347,0.33602092997134,0.1878231072242,2019,1.3e-05,-0.225864392,0.718574377,0.8605769230769231,-0.16586538461538458
12,0.0183729556034945,1.21191945296602,0.5033053952627999,0.35696118880739,-0.22956556326518998,2016,3.83e-05,-0.296138339,-0.198277905,0.24394184168012933,0.6219709208400646
12,0.0033843345955874,1.46844092995407,0.7217993318944,0.0069279092193459,0.10484222435438,2017,1.35e-05,-0.079703538,-0.296138339,0.3341968911917099,-0.2823834196891192
12,-0.0305194851757372,1.38954541570329,0.7195966615056201,0.41818252732675,0.22667015121574002,2018,2.57e-05,0.188846423,-0.079703538,-0.678921568627451,0.32352941176470584
12,-0.0393408468299123,1.0662174854586899,0.9026283484716,0.02590168517993,0.03344518990917,2019,1.19e-05,1.059974196,0.188846423,-0.6298076923076923,-0.24038461538461542
16,-0.0109975491495273,1.58937813404661,0.07227294184114999,-0.5277516214672899,0.11707395055396,2018,1.93e-05,0.624161418,-0.212296127,-0.3602941176470589,0.04166666666666674
19,0.0310396907665474,1.0089494738582,1.20822633732543,0.08820912683215,0.16374057553135002,2019,1.91e-05,-0.085059288,0.135782751,0.5384615384615385,0.12019230769230771
21,-0.0214863127323563,1.13170334575182,1.01973943222421,-0.69260806646227,0.23910302424882,2016,2.51e-05,-0.2112828,-0.228081148,-0.3634894991922456,0.321486268174475
21,0.0044251188520989,1.06023105072655,0.50500456494362,-0.2359862636763,0.42697037705008,2017,1.08e-05,0.188620373,-0.2112828,0.4637305699481866,-0.6528497409326425
31,-0.0028853297496207,1.18993036733398,0.10834270097068,-0.24900049212465003,0.56927976448155,2017,2.67e-05,0.12209808,-0.236499368,-0.427461139896373,0.2590673575129534
31,-0.0183775264127942,1.29549041150018,1.5746666611697098,1.367866301938,0.43195183305665996,2018,5.92e-06,-0.219331797,0.12209808,-0.5024509803921569,-0.9901960784313726
32,0.0001546239152138,1.05231928594666,0.98104964976813,-0.72199709002415,-0.16051018434951,2016,4.68e-05,-0.526468029,0.017255992,-0.06623586429725359,0.7253634894991923
32,0.0838730374046699,1.19786149567081,0.68141836631702,-0.54170444997244,-0.0020528749352786,2018,1.89e-05,1.168592659,0.314456787,0.9656862745098038,0.031862745098039325
32,0.0084157478912848,1.09232368119967,0.7306761986654,-0.51261531658167,0.27160343361098,2019,1.97e-05,-0.138768803,1.168592659,0.18990384615384626,0.17548076923076916
35,0.0050063388692531,0.8592428553345,0.46615176395606,-0.6215605983793,0.0106337933812,2017,8.81e-06,-0.12082868,-0.04799894,0.5,-0.8989637305699482
35,-0.0440887768409972,0.81667562843385,0.80091092011559,-0.26419237645663995,0.40527390675885006,2019,4.22e-05,-0.119732565,-0.162974964,-0.6875,0.7379807692307692
36,0.0442317457769951,1.15538281361625,1.04598154917649,-0.15786924305442998,0.71748737640299,2016,2.48e-05,-0.28155691,0.091975865,0.5831987075928917,0.308562197092084
37,-0.0471984101255025,0.8745142991244501,1.26800954685655,-0.17353456748914,-0.36424370918699,2019,3.32e-05,-0.337294114,-0.059739335,-0.7259615384615384,0.5865384615384615
39,0.054185759505678,1.3704926893584,0.34089887125903,-0.06330011990655,0.6795460030077101,2016,2.01e-05,-0.272276566,0.273429266,0.6704361873990308,0.0726978998384491
39,0.008939905637259,1.0712287449703402,0.51151926093901,-0.19916058871372,0.11757467359588,2017,3.19e-05,0.013193088,-0.272276566,0.7202072538860103,0.4015544041450778
39,-0.0151678435068913,1.72971818026794,0.9757226594928101,0.64272910867167,0.19643225105041,2018,2.48e-05,-0.322696611,0.013193088,-0.4338235294117647,0.2769607843137254
40,-0.0071057168663812,0.74743905444299,0.95420384205581,0.36465974077592,-0.24482802194081,2019,8.59e-06,-0.058998452,-0.559088849,-0.125,-0.8052884615384616
50,0.0008004699062221,1.60997347875557,0.93430381492772,-0.05765816421257,0.23818824760498,2018,8.29e-06,0.132559398,-0.064551357,-0.02450980392156865,-0.8970588235294118
55,0.0166023309768027,1.06795906058169,1.40495732769891,0.10403197144005,0.15714899796052,2016,6.25e-05,-0.221132864,-0.411505827,0.20516962843295627,0.8384491114701131
55,-0.0085034546213633,0.7886296369173399,0.71997653300722,-0.26652172376443,0.29727399579779,2017,3.57e-05,-0.074416991,-0.221132864,-0.7590673575129534,0.4948186528497409
55,0.0634961605676814,1.40892961345649,1.1689942750090399,0.5537478697808901,0.26506963996894,2018,6.19e-05,-0.149733938,-0.074416991,0.9240196078431373,0.8480392156862746
55,-0.0635720069169195,1.0723134333123399,1.28503952423003,0.07013495901598,0.03479409832985,2019,5.78e-05,0.047863148,-0.149733938,-0.8509615384615384,0.8629807692307692
59,0.0112997210060626,1.07660893766077,0.79667732177287,0.60567806708615,-0.28164827160126,2019,2.76e-05,0.797015222,-0.270647977,0.23557692307692313,0.47115384615384626
60,-0.0363113100044578,1.27464345494779,0.08519879054056,-1.26988832690426,0.6238571534107,2016,9.04e-06,-0.339990675,0.061161393,-0.5508885298869144,-0.8869143780290791
60,-0.0050097800514197,1.50655924845123,0.9936070257242999,0.67538539918474,-0.16500560434665998,2018,2.36e-05,-0.202874188,-0.033393137,-0.18872549019607843,0.22549019607843146
60,-0.0256974040533844,1.30524552524085,0.7172218723661601,0.40690075782191,0.04040922429722,2019,1.63e-05,0.219126756,-0.202874188,-0.45432692307692313,-0.024038461538461564
65,-0.0495417797170357,1.20776192308057,0.62511639380403,-0.89421367154148,-0.08481833519663,2016,8.13e-05,-0.520266378,0.090783823,-0.7059773828756057,0.9095315024232633
65,0.0285720022154464,0.9633774071250101,1.05921508443838,-0.36317751567926,-0.49064734144335004,2017,0.000192438,0.132845187,-0.520266378,0.9663212435233162,0.9896373056994818
65,0.0250552157980759,1.47250808990933,0.67722037839801,-0.057319353402699995,0.69593788070828,2018,0.000110069,-0.165083947,0.132845187,0.5563725490196079,0.9803921568627452
65,0.0272582519144915,1.28232596475927,1.21012067658094,0.45646879496252,0.01678414321948,2019,0.000201098,0.176098413,-0.165083947,0.48557692307692313,0.9951923076923077
69,-0.0048054035661125,1.39915713453464,-0.63912980011747,0.11533701635075,0.26407198749990995,2017,1.08e-05,0.034928684,-0.292330618,-0.5984455958549223,-0.6528497409326425
70,-0.0198873293886907,1.0289480207447301,1.2322901219550602,-0.34824264159023,-0.04722220030977,2016,3.41e-05,-0.390256724,-0.113351472,-0.33117932148626816,0.5250403877221326
70,0.0018267909943938,1.00863563579097,1.1419745712673302,0.17458134606612,-0.24041590502607,2017,1.1e-05,1.000893613,-0.390256724,0.1476683937823835,-0.6217616580310881
70,-0.0382855488820243,0.98823268439795,0.8684221947248401,-1.86938766826979,0.14386435386959,2019,9.36e-06,-0.177640255,-0.211873373,-0.6153846153846154,-0.6634615384615384
88,-0.0539029499990657,1.17096753613152,0.47664599958007003,-0.2083940567614,0.49113938464868,2016,2.63e-05,-0.381722289,0.614701504,-0.754442649434572,0.36025848142164785
