asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,rank_beta,rank_br,choice,industry
90,0.003882695,0.009856315,0.013575004,0.009526677,-0.001597558,2017,2.09e-05,0.059439259,0.20688862624999999,0.77125089475,0,E48
90,0.020841717,0.01175818,0.009364426,0.003507077,0.003038423,2018,4.12e-05,0.467283144,0.20688862624999999,0.77125089475,0,E48
90,0.026089545,0.011708725,0.009379133,0.004921637,0.00056707,2019,2.03e-05,-0.161159567,0.20688862624999999,0.77125089475,0,E48
96,0.052082365,0.012296831,0.006615676,-0.009241599,0.005156016,2016,0.0,-0.285199895,0.314520021,-1.0,0,F51
96,-0.000140604,0.012041579,0.003002398,-0.006221859,0.001444785,2017,0.0,-0.127818287,0.314520021,-1.0,0,F51
96,0.003258782,0.004282542,0.006580438,0.0049077,-0.000248093,2018,0.0,0.121772885,0.314520021,-1.0,0,F51
96,0.045005871,0.005945104,0.007124877,-0.001658213,0.002619487,2019,0.0,-0.142149027,0.314520021,-1.0,0,F51
99,0.084300973,0.011597256,0.001981125,-0.013798327,0.002370514,2016,0.0,-0.440032925,0.40272478333333334,0.11341227599999999,0,G56
99,0.015919511,0.009858331,0.013370623,-0.003230224,0.002037995,2018,1.34e-05,-0.037222313,0.40272478333333334,0.11341227599999999,0,G56
99,-0.000200354,0.010911666,0.00591246,-0.004786252,0.005813337,2019,1.24e-05,-0.025499337,0.40272478333333334,0.11341227599999999,0,G56
100,0.024792318,0.012106724,0.002969977,0.005975557,0.004106468,2016,0.0,-0.141499652,0.045576967999999995,-0.518018018,0,C39
100,0.029985757,0.012289512,-0.003229405,-0.006253288,0.002159941,2018,7.17e-06,0.874545986,0.045576967999999995,-0.518018018,0,C39
100,-0.060447295,0.01138365,0.006404813,-0.001434027,0.003017605,2019,0.0,0.232257631,0.045576967999999995,-0.518018018,0,C39
151,-0.002421692,0.011121846,-0.00142272,-0.014499397,-0.001412856,2016,4.82e-05,-0.363174933,0.15498212500000003,0.96625876375,1,F51
151,0.035621271,0.009993898,0.010475614,-0.007024497,-0.001797132,2017,9.28e-05,-0.00778693,0.15498212500000003,0.96625876375,1,F51
151,-0.006665953,0.011514257,0.013426158,-0.001929322,0.003180855,2018,0.000119437,-0.275758433,0.15498212500000003,0.96625876375,1,F51
151,-0.005548357,0.012065626,0.007577769,-0.005353426,0.007406589,2019,6.23e-05,-0.155431407,0.15498212500000003,0.96625876375,1,F51
153,0.066857782,0.010940499,0.020391689,0.009938289,-0.004341613,2016,0.0,-0.49925737,0.08684695100000002,-0.44729729733333334,0,C27
153,-0.069614404,0.008883243,0.012267477,0.001182183,0.001366932,2018,1.32e-05,0.236939445,0.08684695100000002,-0.44729729733333334,0,C27
153,0.026767536,0.011166394,0.012397912,0.002669481,0.000877023,2019,0.0,0.24879389,0.08684695100000002,-0.44729729733333334,0,C27
155,-0.099474635,0.011949225,0.001357756,-0.012246717,0.011091031,2018,0.0,0.142710626,-0.009534534999999955,-1.0,0,C26
